"id","contaminant","incident_url","date_reported","date_incident","county","latitude","longitude","volume","units","contained","created_at","updated_at"
11190,"Diesel fuel","EIR792","2005-08-19","2005-08-18","Cass",46.88353,-96.85117,50,"gallons"," ","2017-03-11 23:36:21.146663","2017-03-11 23:36:21.146663"
11188,"Sodium Bi-Sulfate Solution - Wet gas scrubber effluent","EIR793","2005-09-07","2005-09-05","Morton",46.85926,-100.86802,12100,"gallons"," ","2017-03-11 23:36:21.139507","2017-03-11 23:36:21.139507"
11189,"10-34-0 liquid fertilizer","EIR794","2005-09-07","2005-09-02","Richland",46.27554,-96.87549,50,"gallons"," ","2017-03-11 23:36:21.143626","2017-03-11 23:36:21.143626"
11187,"Engine Lube Oil","EIR795","2005-09-09","2005-09-06","McKenzie",47.92783,-103.87248,2,"gallons"," ","2017-03-11 23:36:20.683746","2017-03-11 23:36:20.683746"
11186,"#5 Fuel oil","EIR796","2005-09-19","2005-09-19","Stutsman",46.91376,-98.63994,500,"gallons"," ","2017-03-11 23:36:20.681499","2017-03-11 23:36:20.681499"
11185,"Crude Oil - light, sweet.","EIR797","2005-09-27","2005-09-27","Benson",48.33278,-99.64217,300,"barrels"," ","2017-03-11 23:36:20.678916","2017-03-11 23:36:20.678916"
11184,"#2 Diesel Fuel","EIR798","2005-09-28","2005-09-28","Ward",47.97164,-101.1536,50,"gallons"," ","2017-03-11 23:36:20.676537","2017-03-11 23:36:20.676537"
11183,"Triethylene Glycol","EIR799","2005-10-15","2005-10-15","McKenzie",48.04538,-102.86045,900,"gallons"," ","2017-03-11 23:36:20.673588","2017-03-11 23:36:20.673588"
11182,"condenser pond water","EIR801","2005-11-13","2005-11-13","Pembina",48.59272,-97.15803,80000,"gallons"," ","2017-03-11 23:36:20.67132","2017-03-11 23:36:20.67132"
11180,"Produced Salt Water","EIR802","2005-11-17","2005-11-16","McKenzie",48.04604,-103.65787,200,"barrels"," ","2017-03-11 23:36:20.666493","2017-03-11 23:36:20.666493"
11178,"Crude oil","EIR804","2005-11-23","2005-11-22","Billings",46.81075,-103.36845,2,"barrels"," ","2017-03-11 23:36:20.661266","2017-03-11 23:36:20.661266"
11181,"28-0-0 liquid nitrogen fertilizer","EIR803","2005-11-23","2005-11-14","LaMoure",46.55124,-98.86089,15000,"gallons"," ","2017-03-11 23:36:20.668966","2017-03-11 23:36:20.668966"
11177,"#6 Fuel Oil","EIR805","2005-12-01","2005-11-30","Burleigh",46.78742,-100.74178,1500,"gallons"," ","2017-03-11 23:36:20.658456","2017-03-11 23:36:20.658456"
11176,"Diesel Fuel","EIR806","2005-12-10","2005-12-10","McIntosh",46.15042,-99.36775,45,"gallons"," ","2017-03-11 23:36:20.655372","2017-03-11 23:36:20.655372"
11175,"Waste Oil","EIR807","2005-12-14","2005-12-14","Cass",46.91213,-96.78721,30,"gallons"," ","2017-03-11 23:36:20.651653","2017-03-11 23:36:20.651653"
11174,"crude oil","EIR808","2005-12-19","2005-12-18","Billings",46.76699,-103.45249,2,"barrels"," ","2017-03-11 23:36:20.648289","2017-03-11 23:36:20.648289"
11179,"Road Diesel #2","EIR809","2005-12-21","2005-11-18","Ward",48.26169,-101.3067,255,"gallons"," ","2017-03-11 23:36:20.663837","2017-03-11 23:36:20.663837"
11173,"Non-Hazardous E-Coat Paint Mixture (10 % product, 90% water)","EIR810","2006-01-03","2006-01-01","Burleigh",46.80198,-100.76258,28000,"gallons"," ","2017-03-11 23:36:20.64351","2017-03-11 23:36:20.64351"
11171,"Crude Oil","EIR811","2006-01-06","2006-01-06","Stark",46.89794,-103.22104,1,"barrels"," ","2017-03-11 23:36:19.878623","2017-03-11 23:36:19.878623"
11172,"glycol","EIR812","2006-01-06","2006-01-05","McLean",47.37866,-101.15312,100,"gallons"," ","2017-03-11 23:36:19.880931","2017-03-11 23:36:19.880931"
11170,"Diesel fuel","EIR813","2006-01-17","2006-01-17","Walsh",48.46316,-97.20145,150,"gallons"," ","2017-03-11 23:36:19.876247","2017-03-11 23:36:19.876247"
11169,"50% Ethylene Glycol/Water Mixture","EIR814","2006-01-23","2006-01-23","McLean",47.37866,-101.15312,1500,"gallons"," ","2017-03-11 23:36:19.873899","2017-03-11 23:36:19.873899"
11168,"Mineral oil - trace of PCB","EIR815","2006-02-04","2006-02-04","Ransom",46.36245,-97.45885,200,"gallons"," ","2017-03-11 23:36:19.870987","2017-03-11 23:36:19.870987"
11167,"Crude Oil","EIR816","2006-02-20","2006-02-18","Billings",46.76699,-103.45249,3,"barrels"," ","2017-03-11 23:36:19.868769","2017-03-11 23:36:19.868769"
11166,"jet fuel","EIR817","2006-02-22","2006-02-21","Ward",48.42252,-101.35354,350,"gallons"," ","2017-03-11 23:36:19.866247","2017-03-11 23:36:19.866247"
11165,"Mobil 15 Hydraulic Fluid","EIR818","2006-02-23","2006-02-22","Sargent",46.23282,-97.66391,500,"gallons"," ","2017-03-11 23:36:19.863749","2017-03-11 23:36:19.863749"
11164,"crude oil","EIR819","2006-02-24","2006-02-23","Billings",46.8686,-103.38965,1,"barrels"," ","2017-03-11 23:36:19.861447","2017-03-11 23:36:19.861447"
11163,"15% Hydrochloric Acid","EIR820","2006-02-27","2006-02-25","Williams",48.14704,-103.55017,546,"gallons"," ","2017-03-11 23:36:19.858835","2017-03-11 23:36:19.858835"
11162,"Diesel fuel","EIR821","2006-03-04","2006-03-04","Cass",46.89784,-96.8299,500,"gallons"," ","2017-03-11 23:36:19.8563","2017-03-11 23:36:19.8563"
11161,"Cooling Tower Water Containing 0.15% ammonia","EIR822","2006-03-07","2006-03-07","Mercer",47.36419,-101.83327,50000,"gallons"," ","2017-03-11 23:36:19.853842","2017-03-11 23:36:19.853842"
11160,"Diesel Fuel","EIR823","2006-03-09","2006-03-09","Steele",47.52134,-97.91039,100,"gallons"," ","2017-03-11 23:36:19.851299","2017-03-11 23:36:19.851299"
